Date,Advancers,Decliners,Neutral
1997-07-15,398,313,114
1997-07-16,497,222,107
1997-07-17,307,404,115
1997-07-18,208,511,108
1997-07-21,247,477,103
1997-07-22,547,181,99
1997-07-23,424,290,113
1997-07-24,362,355,110
1997-07-25,342,361,124
1997-07-28,356,356,115
1997-07-29,405,295,127
1997-07-30,515,209,103
1997-07-31,407,285,135
1997-08-01,267,433,127
1997-08-04,388,319,120
1997-08-05,411,312,104
1997-08-06,493,242,92
1997-08-07,299,411,117
1997-08-08,134,623,71
1997-08-11,371,347,110
1997-08-12,301,408,119
1997-08-13,339,392,97
1997-08-14,361,344,123
1997-08-15,161,567,100
1997-08-18,356,376,97
1997-08-19,543,183,103
1997-08-20,510,207,112
1997-08-21,210,517,102
1997-08-22,285,445,99
1997-08-25,393,316,120
1997-08-26,333,374,122
1997-08-27,406,306,117
1997-08-28,310,415,104
1997-08-29,325,372,132
1997-09-02,597,145,87
1997-09-03,458,282,89
1997-09-04,383,329,117
1997-09-05,402,306,121
1997-09-08,442,280,107
1997-09-09,387,319,123
1997-09-10,261,473,95
1997-09-11,256,483,90
1997-09-12,556,176,97
1997-09-15,386,314,129
1997-09-16,582,161,86
1997-09-17,364,359,106
1997-09-18,447,271,112
1997-09-19,330,382,118
1997-09-22,426,295,109
1997-09-23,339,395,97
1997-09-24,351,391,89
1997-09-25,336,379,116
1997-09-26,432,282,117
1997-09-29,444,273,114
1997-09-30,409,309,113
1997-10-01,493,239,100
1997-10-02,423,295,114
1997-10-03,443,286,103
1997-10-06,482,260,90
1997-10-07,423,301,108
1997-10-08,240,511,81
1997-10-09,309,431,93
1997-10-10,333,411,90
1997-10-13,432,289,114
1997-10-14,354,361,120
1997-10-15,310,426,99
1997-10-16,249,485,101
1997-10-17,135,619,81
1997-10-20,503,249,84
1997-10-21,541,194,101
1997-10-22,300,427,109
1997-10-23,128,620,88
1997-10-24,329,393,115
1997-10-27,17,783,38
1997-10-28,494,278,66
1997-10-29,530,251,57
1997-10-30,198,557,83
1997-10-31,540,212,87
1997-11-03,644,110,86
1997-11-04,385,361,94
1997-11-05,427,302,111
1997-11-06,316,425,99
1997-11-07,101,653,86
1997-11-10,400,337,103
1997-11-11,341,376,124
1997-11-12,140,646,55
1997-11-13,402,353,87
1997-11-14,499,237,107
1997-11-17,619,151,74
1997-11-18,285,450,109
1997-11-19,403,353,89
1997-11-20,538,214,93
1997-11-21,412,320,113
1997-11-24,166,588,93
1997-11-25,370,375,102
1997-11-26,428,305,114
1997-11-28,433,274,140
1997-12-01,546,213,88
1997-12-02,392,339,116
1997-12-03,396,329,122
1997-12-04,379,361,107
1997-12-05,459,287,101
1997-12-08,400,338,109
1997-12-09,290,454,103
1997-12-10,248,503,96
1997-12-11,167,609,71
1997-12-12,374,369,105
1997-12-15,415,336,97
1997-12-16,437,315,96
1997-12-17,419,328,101
1997-12-18,230,518,100
1997-12-19,238,527,84
1997-12-22,444,304,101
1997-12-23,350,393,106
1997-12-24,308,394,147
1997-12-26,379,332,138
1997-12-29,587,186,76
1997-12-30,626,152,71
1997-12-31,443,318,88
1998-01-02,370,389,90
1998-01-05,391,383,76
1998-01-06,249,528,73
1998-01-07,291,464,95
1998-01-08,253,498,99
1998-01-09,108,674,68
1998-01-12,358,415,77
1998-01-13,548,232,70
1998-01-14,502,244,104
1998-01-15,318,437,95
1998-01-16,564,191,95
1998-01-20,537,242,71
1998-01-21,277,490,83
1998-01-22,269,483,99
1998-01-23,277,482,92
1998-01-26,357,382,112
1998-01-27,466,298,87
1998-01-28,498,261,92
1998-01-29,486,260,105
1998-01-30,336,418,97
1998-02-02,571,207,73
1998-02-03,436,302,113
1998-02-04,422,328,101
1998-02-05,434,305,112
1998-02-06,461,268,122
1998-02-09,366,385,100
1998-02-10,504,235,112
1998-02-11,368,381,102
1998-02-12,389,354,108
1998-02-13,345,401,106
1998-02-17,420,346,86
1998-02-18,441,311,100
1998-02-19,309,436,108
1998-02-20,407,346,100
1998-02-23,397,354,102
1998-02-24,271,469,113
1998-02-25,533,208,112
1998-02-26,489,265,99
